City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
625,Hambantota,LK,79.47,overcast clouds,6.1241,81.1185,Bungalow 63
628,Hueyapan,MX,71.78,overcast clouds,18.8667,-98.6667,Hotel San Antonio
629,Caranavi,BO,78.44,broken clouds,-15.8167,-67.55,Hotel LANDIVAR
634,Sompeta,IN,81.7,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
636,Cayenne,GF,85.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
637,Tezu,IN,75.04,broken clouds,27.9167,96.1667,Circuit House
638,Zemio,CF,70.56,overcast clouds,5.0314,25.1361,OCHA Office
640,Campoverde,PE,87.49,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
641,Itarema,BR,82.58,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
642,Marzuq,YE,79.68,light rain,14.4,46.4667,
643,Merauke,ID,76.37,overcast clouds,-8.4667,140.3333,
644,Ko Samui,TH,83.64,few clouds,9.5357,99.9357,The Passage
646,Guaruja,BR,71.46,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
647,Margate,GB,75.87,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
651,Lompoc,US,80.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
655,Bud,US,89.67,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
656,Ca Mau,VN,77.18,clear sky,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
658,Nanning,CN,81.05,clear sky,22.8167,108.3167,Nanning Travelling With Hostel
659,Taman,RU,75.38,broken clouds,45.2117,36.7161,Staryy Gorod G. Taman'
663,Bumba,CD,74.32,overcast clouds,2.1833,22.4667,Père Carlos
665,Baraboo,US,82.8,clear sky,43.4711,-89.7443,Thunderbird Motor Inn
669,Mayumba,GA,70.14,broken clouds,-3.432,10.6554,LIKWALE LODGE
670,Gazanjyk,TM,81.21,light rain,39.2446,55.5154,Railway motel
672,Salinopolis,BR,81.82,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
673,Sola,VU,80.26,few clouds,-13.8833,167.55,Leumerus Bungalows
677,Shellbrook,CA,70.83,broken clouds,53.2168,-106.4011,Shellbrook Hotel
678,Eyl,SO,77.22,broken clouds,7.9803,49.8164,Amiin Hotel
681,North Bend,US,74.91,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
683,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
684,Redmond,US,82.33,clear sky,47.674,-122.1215,Seattle Marriott Redmond
685,Kampli,IN,76.19,overcast clouds,15.4,76.6167,Government Hostel Kampli
686,Puerto Ayacucho,VE,79.83,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
688,Aksu,CN,88.86,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
694,Kumluca,TR,84.72,clear sky,36.3703,30.2869,Akkol Apart
699,Yinchuan,CN,75.24,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
705,Perivolion,GR,87.35,clear sky,39.4206,20.0147,Santa Maria
706,Samarai,PG,79.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
